Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Darius,Male,13/10/2020,11,17.6,Spec,16/02/2021,Male,NA,NA,-27.46308333,153.0195333,0.023051592,27,911,0.029637761
Delilah,Female,15/10/2020,11,0,Spec,29/09/2020,Female,211,460,-27.46268333,153.0188333,0.053156146,28,301,0.093023256
Delilah,Female,15/10/2020,11,0,Spec,15/02/2021,Female,NA,NA,-27.46268333,153.0188333,0.053156146,28,301,0.093023256
Dodie,Female,17/09/2020,11,17.8,Lake,6/10/2020,Female,181,289,-27.46273333,153.01815,0.058823529,25,323,0.077399381
Dodie,Female,17/09/2020,11,17.8,Lake,28/07/2021,Female,201,225,-27.46273333,153.01815,0.058823529,25,323,0.077399381
Dodie,Female,17/09/2020,11,17.8,Lake,19/02/2021,Female,NA,NA,-27.46273333,153.01815,0.058823529,25,323,0.077399381
Dune,Female,15/10/2020,11,18,Lake,1/10/2020,Female,177,270,-27.46248333,153.018,0.054151625,14,277,0.050541516
Dune,Female,15/10/2020,11,18,Lake,23/02/2021,Female,NA,NA,-27.46248333,153.018,0.054151625,14,277,0.050541516
Eliana,Female,13/10/2020,11,16.8,Lake,5/10/2020,Female,167,158,-27.46241667,153.0174667,0.028497409,13,386,0.033678756
Eliana,Female,13/10/2020,11,16.8,Lake,18/02/2021,Female,NA,NA,-27.46241667,153.0174667,0.028497409,13,386,0.033678756
End,Male,4/06/2021,11,14.3,Spec,28/09/2020,Male,240,706,-27.46278333,153.0193333,0.087227414,35,321,0.109034268
End,Male,22/10/2020,11,18.2,Spec,28/09/2020,Male,240,706,-27.4628,153.0193333,0.087227414,35,321,0.109034268
End,Male,4/06/2021,11,14.3,Spec,15/02/2021,Male,NA,NA,-27.46278333,153.0193333,0.087227414,35,321,0.109034268
End,Male,22/10/2020,11,18.2,Spec,15/02/2021,Male,NA,NA,-27.4628,153.0193333,0.087227414,35,321,0.109034268
Erin,Female,11/02/2021,11,40.9,Spec,17/02/2021,Female,NA,NA,-27.46281667,153.0194167,0.070362473,37,469,0.078891258
Erin,Female,11/02/2021,11,40.9,Spec,8/10/2020,Female,NA,330,-27.46281667,153.0194167,0.070362473,37,469,0.078891258
Everett,Male,15/10/2020,11,14.8,Spec,30/09/2020,Male,234,778,-27.46255,153.0189167,0.039716312,43,705,0.060992908
Everett,Male,15/10/2020,11,14.8,Spec,28/07/2021,Male,273,840,-27.46255,153.0189167,0.039716312,43,705,0.060992908
Everett,Male,15/10/2020,11,14.8,Spec,15/02/2021,Male,NA,NA,-27.46255,153.0189167,0.039716312,43,705,0.060992908
Finn,Male,13/10/2020,11,17.6,Lake,1/10/2020,Male,239,696,-27.46245,153.01725,0.003527337,7,567,0.012345679
